file	arm	verdict	rc	wall_ms	attempts	decided_by	bound_by	bound_ms	total_ms	giveup	lever_refused
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_collision.3.prop1_ab_cti_max.smt2	a8192	sat	0	23435	9	ufbv-online-cdclt	ufbv-online-cdclt	22144	23381	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_collision.3.prop1_ab_cti_max.smt2	n32768	unknown	0	1311	18	ufbv-online-cdclt	ufbv-online-cdclt	631	1249	give-up kind=ResourceLimit detail=online UFBV has 1394 semantic atoms, exceeding the cap of 1024	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_collision.3.prop1_ab_cti_max.smt2	n65536	unknown	0	1311	18	ufbv-online-cdclt	ufbv-online-cdclt	631	1249	give-up kind=ResourceLimit detail=online UFBV has 1394 semantic atoms, exceeding the cap of 1024	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_eq_sdp_v2_ab_reg_max.smt2	a8192	unsat	0	111	4	qf-bv	dl-online	2	3	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_eq_sdp_v2_ab_reg_max.smt2	n32768	unsat	0	110	4	qf-bv	dl-online	2	3	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_eq_sdp_v2_ab_reg_max.smt2	n65536	unsat	0	110	4	qf-bv	dl-online	2	3	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_eq_sdp_v2_ab_reg_max.smt2	n262144	unsat	0	111	4	qf-bv	dl-online	2	3	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_eq_sdp_v2_ab_reg_max.smt2	bothmid	unsat	0	110	4	qf-bv	dl-online	2	3	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_eq_sdp_v2_ab_reg_max.smt2	bothmax	unsat	0	111	4	qf-bv	dl-online	2	3	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_eq_sdp_v2_ab_reg_max.smt2	base	unsat	0	111	4	qf-bv	dl-online	2	3	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_eq_sdp_v2_ab_reg_max.smt2	a2048	unsat	0	111	4	qf-bv	dl-online	2	3	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_eq_sdp_v2_ab_reg_max.smt2	a4096	unsat	0	110	4	qf-bv	dl-online	2	3	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_fischer.6.prop1_ab_cti_max.smt2	base	unknown	0	6717	18	ufbv-online-cdclt	ufbv-online-cdclt	6027	6632	give-up kind=ResourceLimit detail=online UFBV has 1519 semantic atoms, exceeding the cap of 1024	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_fischer.6.prop1_ab_cti_max.smt2	a2048	sat	0	24336	9	ufbv-online-cdclt	ufbv-online-cdclt	17647	24219	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_fischer.6.prop1_ab_cti_max.smt2	a4096	sat	0	23832	9	ufbv-online-cdclt	ufbv-online-cdclt	17188	23806	none	no
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_fischer.6.prop1_ab_cti_max.smt2	a8192	sat	0	24436	9	ufbv-online-cdclt	ufbv-online-cdclt	17727	24379	none	no
