file	base	base_s	base_giveup	new	new_s	new_giveup	status
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDT/20170428-Barrett/cdt-cade2015/data/afp/abstract_completeness/x2015_09_10_16_59_33_621_1039748.smt_in.smt2	unknown	10.72	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	10.92	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDT/20170428-Barrett/cdt-cade2015/data/afp/abstract_completeness/x2015_09_10_17_00_02_323_1069308.smt_in.smt2	unknown	0.11	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: native datatype solving supports scalar (Bool/BitVec/Int/Real) and datatype fields; array/UF datatype fields are not yet supported	unsat	0.21	none	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDT/20170428-Barrett/cdt-cade2015/data/afp/abstract_completeness/x2015_09_10_17_00_30_240_1098389.smt_in.smt2	unknown	0.11	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: native datatype solving supports scalar (Bool/BitVec/Int/Real) and datatype fields; array/UF datatype fields are not yet supported	unknown	0.21	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: `is`/`select` over a non-variable datatype term (constructors should fold first) (ADR-0022)	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDT/20170428-Barrett/cdt-cade2015/data/afp/abstract_completeness/x2015_09_10_17_00_58_080_1129868.smt_in.smt2	unknown	0.11	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: native datatype solving supports scalar (Bool/BitVec/Int/Real) and datatype fields; array/UF datatype fields are not yet supported	unknown	0.31	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: `is`/`select` over a non-variable datatype term (constructors should fold first) (ADR-0022)	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDT/20170428-Barrett/cdt-cade2015/data/afp/bindag/x2015_09_10_16_52_38_278_1003962.smt_in.smt2	unknown	0.11	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: native datatype solving supports scalar (Bool/BitVec/Int/Real) and datatype fields; array/UF datatype fields are not yet supported	unknown	0.31	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDT/20170428-Barrett/cdt-cade2015/data/afp/bindag/x2015_09_10_16_53_04_087_1031693.smt_in.smt2	unknown	0.11	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: native datatype solving supports scalar (Bool/BitVec/Int/Real) and datatype fields; array/UF datatype fields are not yet supported	unknown	0.31	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDT/20170428-Barrett/cdt-cade2015/data/afp/bindag/x2015_09_10_16_53_30_176_1063054.smt_in.smt2	unknown	0.11	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: native datatype solving supports scalar (Bool/BitVec/Int/Real) and datatype fields; array/UF datatype fields are not yet supported	unknown	0.31	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDT/20170428-Barrett/cdt-cade2015/data/afp/bindag/x2015_09_10_16_53_56_537_1094926.smt_in.smt2	unknown	0.21	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: native datatype solving supports scalar (Bool/BitVec/Int/Real) and datatype fields; array/UF datatype fields are not yet supported	unknown	0.41	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list_prefix/x2015_09_10_16_47_37_931_1077041.smt_in.smt2	unknown	4.91	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	4.81	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDT/20170428-Barrett/cdt-cade2015/data/afp/coinductive_list/x2015_09_10_16_48_42_591_1040231.smt_in.smt2	unknown	10.52	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	10.42	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
