level	file	threshold_mult	admitted_at_level	source_arm	verdict	ms	exit_status	peak_rss_kb	decided_by
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking01.smt2	1	True	shipped	sat	109	0	16924	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking01.smt2	1	True	shipped	sat	109	0	16924	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking01.smt2	1	True	shipped	sat	109	0	16924	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking01.smt2	1	True	shipped	sat	109	0	16924	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking02.smt2	1	True	shipped	sat	109	0	18432	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking02.smt2	1	True	shipped	sat	109	0	18432	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking02.smt2	1	True	shipped	sat	109	0	18432	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking02.smt2	1	True	shipped	sat	109	0	18432	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking03.smt2	1	True	shipped	sat	107	0	19100	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking03.smt2	1	True	shipped	sat	107	0	19100	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking03.smt2	1	True	shipped	sat	107	0	19100	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking03.smt2	1	True	shipped	sat	107	0	19100	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking04.smt2	1	True	shipped	sat	107	0	19736	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking04.smt2	1	True	shipped	sat	107	0	19736	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking04.smt2	1	True	shipped	sat	107	0	19736	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking04.smt2	1	True	shipped	sat	107	0	19736	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking05.smt2	1	True	shipped	sat	208	0	21520	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking05.smt2	1	True	shipped	sat	208	0	21520	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking05.smt2	1	True	shipped	sat	208	0	21520	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking05.smt2	1	True	shipped	sat	208	0	21520	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking06.smt2	1	True	shipped	sat	208	0	22212	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking06.smt2	1	True	shipped	sat	208	0	22212	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking06.smt2	1	True	shipped	sat	208	0	22212	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking06.smt2	1	True	shipped	sat	208	0	22212	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking07.smt2	1	True	shipped	sat	309	0	23176	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking07.smt2	1	True	shipped	sat	309	0	23176	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking07.smt2	1	True	shipped	sat	309	0	23176	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking07.smt2	1	True	shipped	sat	309	0	23176	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking08.smt2	1	True	shipped	sat	308	0	24124	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking08.smt2	1	True	shipped	sat	308	0	24124	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking08.smt2	1	True	shipped	sat	308	0	24124	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking08.smt2	1	True	shipped	sat	308	0	24124	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking09.smt2	1	True	shipped	sat	408	0	24700	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking09.smt2	1	True	shipped	sat	408	0	24700	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking09.smt2	1	True	shipped	sat	408	0	24700	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking09.smt2	1	True	shipped	sat	408	0	24700	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking10.smt2	1	True	shipped	sat	408	0	26656	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking10.smt2	1	True	shipped	sat	408	0	26656	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking10.smt2	1	True	shipped	sat	408	0	26656	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking10.smt2	1	True	shipped	sat	408	0	26656	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking11.smt2	1	True	shipped	sat	508	0	28740	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking11.smt2	1	True	shipped	sat	508	0	28740	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking11.smt2	1	True	shipped	sat	508	0	28740	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking11.smt2	1	True	shipped	sat	508	0	28740	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking12.smt2	1	True	shipped	sat	609	0	28888	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking12.smt2	1	True	shipped	sat	609	0	28888	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking12.smt2	1	True	shipped	sat	609	0	28888	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking12.smt2	1	True	shipped	sat	609	0	28888	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking13.smt2	1	True	shipped	sat	708	0	30204	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking13.smt2	1	True	shipped	sat	708	0	30204	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking13.smt2	1	True	shipped	sat	708	0	30204	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking13.smt2	1	True	shipped	sat	708	0	30204	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking14.smt2	1	True	shipped	sat	809	0	30916	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking14.smt2	1	True	shipped	sat	809	0	30916	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking14.smt2	1	True	shipped	sat	809	0	30916	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking14.smt2	1	True	shipped	sat	809	0	30916	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking15.smt2	1	True	shipped	sat	908	0	31528	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking15.smt2	1	True	shipped	sat	908	0	31528	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking15.smt2	1	True	shipped	sat	908	0	31528	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking15.smt2	1	True	shipped	sat	908	0	31528	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking16.smt2	1	True	shipped	sat	1008	0	32212	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking16.smt2	1	True	shipped	sat	1008	0	32212	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking16.smt2	1	True	shipped	sat	1008	0	32212	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking16.smt2	1	True	shipped	sat	1008	0	32212	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking17.smt2	1	True	shipped	sat	1209	0	33908	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking17.smt2	1	True	shipped	sat	1209	0	33908	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking17.smt2	1	True	shipped	sat	1209	0	33908	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking17.smt2	1	True	shipped	sat	1209	0	33908	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking18.smt2	1	True	shipped	sat	1309	0	34704	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking18.smt2	1	True	shipped	sat	1309	0	34704	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking18.smt2	1	True	shipped	sat	1309	0	34704	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking18.smt2	1	True	shipped	sat	1309	0	34704	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking19.smt2	1	True	shipped	sat	1508	0	34604	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking19.smt2	1	True	shipped	sat	1508	0	34604	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking19.smt2	1	True	shipped	sat	1508	0	34604	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking19.smt2	1	True	shipped	sat	1508	0	34604	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking20.smt2	1	True	shipped	sat	1608	0	37700	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking20.smt2	1	True	shipped	sat	1608	0	37700	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking20.smt2	1	True	shipped	sat	1608	0	37700	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking20.smt2	1	True	shipped	sat	1608	0	37700	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking21.smt2	1	True	shipped	sat	1809	0	38524	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking21.smt2	1	True	shipped	sat	1809	0	38524	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking21.smt2	1	True	shipped	sat	1809	0	38524	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking21.smt2	1	True	shipped	sat	1809	0	38524	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking22.smt2	1	True	shipped	sat	2010	0	41152	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking22.smt2	1	True	shipped	sat	2010	0	41152	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking22.smt2	1	True	shipped	sat	2010	0	41152	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/cooking22.smt2	1	True	shipped	sat	2010	0	41152	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-depth-2.smt2	1	True	shipped	sat	108	0	19680	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-depth-2.smt2	1	True	shipped	sat	108	0	19680	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-depth-2.smt2	1	True	shipped	sat	108	0	19680	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-depth-2.smt2	1	True	shipped	sat	108	0	19680	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-depth-3.smt2	1	True	shipped	sat	708	0	33724	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-depth-3.smt2	1	True	shipped	sat	708	0	33724	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-depth-3.smt2	1	True	shipped	sat	708	0	33724	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-depth-3.smt2	1	True	shipped	sat	708	0	33724	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-depth-4.smt2	1	True	shipped	sat	3811	0	69708	dl-online
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-depth-4.smt2	1	True	shipped	sat	3811	0	69708	dl-online
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-depth-4.smt2	1	True	shipped	sat	3811	0	69708	dl-online
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-depth-4.smt2	1	True	shipped	sat	3811	0	69708	dl-online
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-depth-5.smt2	7	False	shipped	unknown	25030	0	147592	none
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-depth-5.smt2	7	False	shipped	unknown	25030	0	147592	none
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-depth-5.smt2	7	True	65536	unknown	25031	0	164248	none
off	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-depth-5.smt2	7	True	65536	unknown	25031	0	164248	none
2	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-depth-6.smt2	11	False	shipped	unknown	25133	0	262428	none
4	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-depth-6.smt2	11	False	shipped	unknown	25133	0	262428	none
16	QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-depth-6.smt2	11	True	65536	unknown	25129	0	282468	none
