file	atoms	threshold_mult	online_probe	reading
QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-depth-5.smt2	6176	7	admission-screen	measured
QF_RDL/SMT-Temporal-Planning-Benchmarks/tempo-depth-6.smt2	10471	11	admission-screen	measured
QF_RDL/sal/fischer6-mutex-19.smt2	2350	3	admission-screen	measured
QF_RDL/sal/fischer6-mutex-20.smt2	2473	3	admission-screen	measured
QF_RDL/sal/fischer9-mutex-13.smt2	2437	3	admission-screen	measured
QF_RDL/sal/fischer9-mutex-14.smt2	2623	3	admission-screen	measured
QF_RDL/sal/fischer9-mutex-15.smt2	2809	3	admission-screen	measured
QF_RDL/sal/fischer9-mutex-16.smt2	2995	3	admission-screen	measured
QF_RDL/sal/fischer9-mutex-17.smt2	3181	4	admission-screen	measured
QF_RDL/sal/fischer9-mutex-18.smt2	3367	4	admission-screen	measured
QF_RDL/sal/fischer9-mutex-19.smt2	3553	4	admission-screen	measured
QF_RDL/sal/fischer9-mutex-20.smt2	3739	4	admission-screen	measured
QF_RDL/scheduling/abz7_600.smt2	6021	6	admission-screen	measured
QF_RDL/scheduling/abz7_667.smt2	6021	6	admission-screen	measured
QF_RDL/scheduling/abz7_670.smt2	6021	6	admission-screen	measured
QF_RDL/scheduling/abz7_691.smt2	6021	6	admission-screen	measured
QF_RDL/scheduling/abz7_700.smt2	6021	6	admission-screen	measured
QF_RDL/scheduling/swv11_2900.smt2	25051	25	admission-screen	measured
QF_RDL/scheduling/swv11_2983.smt2	25051	25	admission-screen	measured
QF_RDL/scheduling/swv11_2988.smt2	25051	25	admission-screen	measured
QF_RDL/scheduling/swv11_2992.smt2	25051	25	admission-screen	measured
QF_RDL/scheduling/swv11_3050.smt2	25051	25	admission-screen	measured
QF_RDL/scheduling/swv12_2900.smt2	25051	25	admission-screen	measured
QF_RDL/scheduling/swv12_2972.smt2	25051	25	admission-screen	measured
QF_RDL/scheduling/swv12_2990.smt2	25051	25	admission-screen	measured
QF_RDL/scheduling/swv12_3004.smt2	25051	25	admission-screen	measured
QF_RDL/scheduling/swv12_3050.smt2	25051	25	admission-screen	measured
QF_RDL/scheduling/swv13_3000.smt2	25051	25	admission-screen	measured
QF_RDL/scheduling/swv13_3104.smt2	25051	25	admission-screen	measured
QF_RDL/scheduling/swv13_3150.smt2	25051	25	admission-screen	measured
QF_RDL/scheduling/swv13_3200.smt2	25051	25	admission-screen	measured
QF_RDL/scheduling/swv14_2800.smt2	25051	25	admission-screen	measured
QF_RDL/scheduling/swv14_2885.smt2	25051	25	admission-screen	measured
QF_RDL/scheduling/swv14_2895.smt2	25051	25	admission-screen	measured
QF_RDL/scheduling/swv14_2905.smt2	25051	25	admission-screen	measured
QF_RDL/scheduling/swv14_3000.smt2	25051	25	admission-screen	measured
