file	surrogate	ax	ax_s	z3_surr	z3s_s	z3_orig	z3o_s	status
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ABV/20190429-UltimateAutomizerSvcomp2019/alternating_list_true-unreach-call_true-valid-memsafety.i_0.smt2	ok	unknown	0.11	sat	0.11	sat	0.11	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ABV/20190429-UltimateAutomizerSvcomp2019/dancing_true-unreach-call_false-valid-memtrack.i_0.smt2	ok	unsat	0.11	unsat	0.11	unsat	0.11	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ABV/20190429-UltimateAutomizerSvcomp2019/list_flag_true-unreach-call_false-valid-memtrack.i_8.smt2	REFUSED	-	-	-	-	-	-	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ABV/20190429-UltimateAutomizerSvcomp2019/sll-rb-sentinel_false-unreach-call_false-valid-memcleanup.i_0.smt2	REFUSED	-	-	-	-	-	-	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ABV/20190429-UltimateAutomizerSvcomp2019/splice_true-unreach-call_false-valid-memtrack.i_0.smt2	ok	unknown	0.11	sat	0.11	sat	0.11	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ABV/20230321-UltimateAutomizerSvcomp2023/dll2n_append_unequal.i_26.smt2	ok	unknown	0.11	sat	0.11	sat	0.11	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ABV/20230321-UltimateAutomizerSvcomp2023/list-ext_flag.i_88.smt2	ok	unknown	0.11	sat	0.11	sat	0.11	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ABV/20230321-UltimateAutomizerSvcomp2023/packet_filter.i_16.smt2	ok	unknown	0.41	unknown	0.11	unknown	0.11	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ABV/20230321-UltimateAutomizerSvcomp2023/s3.i_6.smt2	REFUSED	-	-	-	-	-	-	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ABV/20230321-UltimateAutomizerSvcomp2023/sll2c_insert_equal.i_30.smt2	ok	unknown	0.11	sat	0.11	sat	0.11	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ABV/20230321-UltimateAutomizerSvcomp2023/sll2c_prepend_equal.i_17.smt2	REFUSED	-	-	-	-	-	-	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ABV/20230321-UltimateAutomizerSvcomp2023/sll2n_append_unequal.i_46.smt2	ok	unknown	0.11	sat	0.11	sat	0.12	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ABV/20230321-UltimateAutomizerSvcomp2023/sll_to_dll_rev-1.i_10.smt2	REFUSED	-	-	-	-	-	-	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ABV/20230321-UltimateAutomizerSvcomp2023/test-0504_1.i_0.smt2	REFUSED	-	-	-	-	-	-	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ABV/20230321-UltimateAutomizerSvcomp2023/test-memleak_nexttime.i_198.smt2	REFUSED	-	-	-	-	-	-	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ABV/20230321-UltimateAutomizerSvcomp2023/test-memleak_nexttime.i_22.smt2	REFUSED	-	-	-	-	-	-	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/ABV/20230321-UltimateAutomizerSvcomp2023/tree_of_cslls.i_26.smt2	ok	unknown	0.91	sat	0.11	sat	0.11	unknown
