file	verdict	rc	wall_ms	attempts	decided_by	bound_by	last	bound_ms	total_ms	open_after	open_ms	deepest	qtrace	giveup
UFLIA/20230314-Jaroslav-Bendik-Certora/52759_b3ecd2335fd16ec2eee2_9_UFLIA.smt2	unknown	0	4510	19	none	q:mbqi	fd:bounded-completeness-unsat	2129	4442	na	na	na	egraph@2.096:declined;(+8 segments of other stages dropped)	give-up kind=Incomplete detail=e-matching: no universal is asserted; the nested quantifiers present are registered, not instantiated
UFLIA/boogie/AdvancedTypes_InternalSubClass..ctor-orderStrength_1.smt2	unknown	0	24123	17	none	q:forall-exists-witness	fd:bounded-completeness-unsat	12788	24050	na	na	na	egraph@10.360:declined;(+21 segments of other stages dropped)	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
UFLIA/boogie/Arrays_Q3-noinfer.smt2	unknown	0	24122	17	none	q:egraph	fd:bounded-completeness-unsat	22453	24035	na	na	na	egraph@24.020:declined;(+327 segments of other stages dropped)	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
UFLIA/boogie/AssignToRepField_AssignToRepField.N.smt2	unknown	0	24132	17	none	q:egraph	fd:bounded-completeness-unsat	20380	24087	na	na	na	egraph@21.937:declined;(+30 segments of other stages dropped)	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
UFLIA/boogie/Bag2_Bag.Add_System.Int32.smt2	unknown	0	24432	17	none	q:egraph	fd:bounded-completeness-unsat	20614	24363	na	na	na	egraph@22.177:declined;(+41 segments of other stages dropped)	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
UFLIA/boogie/BasicMethodology_SubClass..ctor.smt2	unknown	0	24124	17	none	q:egraph	fd:bounded-completeness-unsat	19131	24080	na	na	na	egraph@20.925:declined;(+33 segments of other stages dropped)	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
UFLIA/boogie/Cast_Cast.R_System.Object_System.Int32.smt2	unknown	0	24132	17	none	q:egraph	fd:bounded-completeness-unsat	20505	24040	na	na	na	egraph@21.989:declined;(+34 segments of other stages dropped)	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
UFLIA/boogie/Chunker11c_Chunker.SpecSharp.CheckInvariant_System.Boolean.smt2	unknown	0	24124	17	none	q:egraph	fd:bounded-completeness-unsat	20019	24057	na	na	na	egraph@21.599:declined;(+33 segments of other stages dropped)	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
UFLIA/boogie/DefaultLoopInv0_A.M-modifiesOnLoop-noinfer.smt2	unknown	0	23322	19	none	q:egraph	fd:bounded-completeness-unsat	18287	23177	na	na	na	egraph@19.783:declined;(+92 segments of other stages dropped)	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted
UFLIA/boogie/Ensures_Q-noinfer_8.smt2	unknown	0	24122	17	none	q:egraph	fd:bounded-completeness-unsat	22490	24040	na	na	na	egraph@24.023:declined;(+45 segments of other stages dropped)	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
UFLIA/boogie/ExposeVersion_D..ctor-level_2.smt2	unknown	0	24124	17	none	q:egraph	fd:bounded-completeness-unsat	18279	24087	na	na	na	egraph@20.202:declined;(+29 segments of other stages dropped)	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
UFLIA/boogie/FormulaTerm_plus-noinfer_2.smt2	unsat	0	106	6	q:mbqi-quick	q:forall-exists-witness	q:mbqi-quick	14	15	na	na	na	(+5 segments of other stages dropped)	none
UFLIA/boogie/Interval_Cell.Shift_System.Int32.smt2	unknown	0	24129	17	none	q:egraph	fd:bounded-completeness-unsat	20211	24038	na	na	na	egraph@21.762:declined;(+30 segments of other stages dropped)	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
UFLIA/boogie/LocalExpose_T.V1.smt2	unknown	0	24129	17	none	q:egraph	fd:bounded-completeness-unsat	18426	24063	na	na	na	egraph@20.343:declined;(+33 segments of other stages dropped)	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
UFLIA/boogie/MultipleErrors_P-showErrorTrace-vc_local_1.smt2	unknown	0	24123	17	none	q:egraph	fd:bounded-completeness-unsat	22481	24019	na	na	na	egraph@24.003:declined;(+45 segments of other stages dropped)	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
UFLIA/boogie/Passification_good1-noinfer.smt2	unsat	0	106	6	q:mbqi-quick	q:forall-exists-witness	q:mbqi-quick	15	16	na	na	na	(+5 segments of other stages dropped)	none
UFLIA/boogie/PureAxioms_B.Dummy2-level_2.smt2	unknown	0	24132	17	none	q:egraph	fd:bounded-completeness-unsat	19974	24016	na	na	na	egraph@21.536:declined;(+29 segments of other stages dropped)	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
UFLIA/boogie/Quantifiers_V1-noinfer.smt2	unsat	0	207	6	q:mbqi-quick	q:mbqi-quick	q:mbqi-quick	73	94	na	na	na	(+11 segments of other stages dropped)	none
UFLIA/boogie/Spouse_Person..ctor.smt2	unknown	0	24233	17	none	q:egraph	fd:bounded-completeness-unsat	19802	24121	na	na	na	egraph@21.431:declined;(+17 segments of other stages dropped)	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
UFLIA/boogie/StrictReadOnly_C1.Z1.smt2	unknown	0	24230	17	none	q:egraph	fd:bounded-completeness-unsat	19891	24114	na	na	na	egraph@21.491:declined;(+21 segments of other stages dropped)	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
UFLIA/boogie/StructTests_St.S_System.Int32.ptr_System.Int32.ptr-level_2.smt2	unknown	0	24131	17	none	q:egraph	fd:bounded-completeness-unsat	20417	24052	na	na	na	egraph@21.907:declined;(+38 segments of other stages dropped)	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
UFLIA/boogie/Unsigned_test.Conversions_System.UInt32_System.Double.smt2	unknown	0	24121	17	none	q:egraph	fd:bounded-completeness-unsat	20411	24049	na	na	na	egraph@21.940:declined;(+38 segments of other stages dropped)	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
UFLIA/boogie/WhereMotivation_Types.MLoop0.smt2	unknown	0	24028	19	none	q:egraph	fd:bounded-completeness-unsat	19233	23890	na	na	na	egraph@20.809:declined;(+89 segments of other stages dropped)	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted
UFLIA/boogie/loopinv1_LoopInv1.Test1a_F_notnull-infer_eh.smt2	unknown	0	24625	17	none	q:egraph	fd:bounded-completeness-unsat	20007	24456	na	na	na	egraph@21.589:declined;(+29 segments of other stages dropped)	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
UFLIA/grasshopper/instantiated/delete_check_heap_access_53_12.smt2	unknown	0	23728	19	none	q:egraph	fd:bounded-completeness-unsat	14032	23604	na	na	na	egraph@16.342:declined;(+67 segments of other stages dropped)	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted
UFLIA/grasshopper/instantiated/insertion_sort_postcondition_of_insertion_sort_63_1.smt2	unknown	0	24430	18	none	q:egraph	fd:bounded-completeness-unsat	22689	24248	na	na	na	egraph@24.230:declined;(+55 segments of other stages dropped)	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching
UFLIA/grasshopper/instantiated/reverse_loop_check_heap_access_35_4.smt2	unsat	0	2810	7	q:egraph	q:mbqi-quick	q:egraph	1517	2716	na	na	na	egraph@2.708:unsat;(+61 segments of other stages dropped)	none
UFLIA/grasshopper/instantiated/union_check_heap_access_38_21.smt2	unsat	0	106	6	q:mbqi-quick	q:mbqi-quick	q:mbqi-quick	35	42	na	na	na	(+5 segments of other stages dropped)	none
UFLIA/grasshopper/uninstantiated/difference_check_heap_access_41_8.smt2	unsat	0	14023	7	q:egraph	q:egraph	q:egraph	12332	13925	na	na	na	egraph@13.905:unsat;(+47 segments of other stages dropped)	none
UFLIA/grasshopper/uninstantiated/merge_loop_check_heap_access_60_6.smt2	unknown	0	25133	6	none	q:mbqi-quick	q:mbqi-quick	1659	1679	q:mbqi-quick	23320	euf:uf-arith-eager>euf:lazy-arith-overbound>euf:uf-arith-lazy>euf:fc-loop>euf:fc-round-solve>euf:round-incremental-arith>dpll-lia:new>dpll-lia:assert-all>dpll-lia:abstract	(+32 segments of other stages dropped)	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
UFLIA/grasshopper/uninstantiated/sls_insert_loop_check_heap_access_38_6.smt2	unsat	0	6612	7	q:egraph	q:egraph	q:egraph	4978	6532	na	na	na	egraph@6.529:unsat;(+43 segments of other stages dropped)	none
UFLIA/misc/list4.smt2	unknown	0	20226	19	none	q:egraph	fd:bounded-completeness-unsat	20065	20118	na	na	na	egraph@20.069:declined;(+395 segments of other stages dropped)	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms
UFLIA/simplify/javafe.SrcTool.15.smt2	unsat	0	408	6	q:mbqi-quick	q:forall-exists-witness	q:mbqi-quick	180	359	na	na	na	(+13 segments of other stages dropped)	none
UFLIA/simplify/javafe.ast.CatchClauseVec.66.smt2	unknown	0	25125	6	none	q:mbqi-quick	q:mbqi-quick	1642	1834	q:mbqi-quick	23165	euf:uf-arith-eager>euf:lazy-arith-overbound>euf:uf-arith-lazy>euf:fc-loop>euf:fc-round-solve>euf:round-incremental-arith>dpll-lia:new>dpll-lia:assert-all>dpll-lia:abstract	(+25 segments of other stages dropped)	give-up kind=Watchdog detail=watchdog fired before the worker thread returned
UFLIA/simplify/javafe.ast.DelegatingPrettyPrint.117.smt2	unsat	0	308	6	q:mbqi-quick	q:forall-exists-witness	q:mbqi-quick	167	256	na	na	na	(+13 segments of other stages dropped)	none
