file	base_verdict	base_s	esc_verdict	esc_s	base_giveup	esc_giveup
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChenFlurMukhopadhyay-SAS2012-Ex2.02_false-termination.c__p21008_terminationG_0.smt2	unknown	24.1	unknown	24.6	kind=Incomplete detail=bounded integer model overflowed at width 32 (assertion #586 is false over exact semantics); widen the bound	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChenFlurMukhopadhyay-SAS2012-Ex3.06_false-termination.c__p22014_terminationG_0.smt2	unknown	24.8	unknown	24.3	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__DivWithoutMinus.c__p22517_edge_closing_0.smt2	unknown	25.1	unknown	25.1	kind=Watchdog detail=watchdog fired before the worker thread returned	kind=Watchdog detail=watchdog fired before the worker thread returned
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23483_edge_closing_0.smt2	unknown	25.2	unknown	24.3	kind=Watchdog detail=watchdog fired before the worker thread returned	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex5_false-termination.c__p24052_edge_closing_0.smt2	unknown	21.6	unknown	25.1	kind=Incomplete detail=bounded integer model overflowed at width 32 (assertion #236 is false over exact semantics); widen the bound	kind=Watchdog detail=watchdog fired before the worker thread returned
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__NonTermination2_false-termination.c__p24932_edge_closing_0.smt2	unknown	24.5	unknown	24.4	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Sunset.c__terminationQ_0_0.smt2	unknown	17.1	unknown	24.4	kind=Incomplete detail=bounded integer model overflowed at width 32 (assertion #376 is false over exact semantics); widen the bound	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25866_terminationG_0.smt2	unknown	24.2	unknown	24.9	kind=Timeout detail=preprocessed dispatch timeout after reduced solve	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__Benghazi_nondet_true-termination.c__p26690_terminationG_0.smt2	unknown	17.3	unknown	24.3	kind=Incomplete detail=bounded integer model overflowed at width 32 (assertion #650 is false over exact semantics); widen the bound	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__Singapore_true-termination.c__p27347_terminationG_0.smt2	unknown	24.1	unknown	24.5	kind=Incomplete detail=bounded integer model overflowed at width 32 (assertion #408 is false over exact semantics); widen the bound	kind=Timeout detail=preprocessed dispatch timeout after reduced solve
