file	axeyum	ax_s	ax_k	z3	z3_s	z3_k	cvc5	cvc5_s	cvc5_k	status
BV/2018-Preiner-cav18/check_bvsle_bvconcat0_62_4bit.smt2	unknown	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2018-Preiner-cav18/check_bvsle_bvshl1_64bit.smt2	unknown	0.11	ok	unsat	0.11	ok	unsat	0.21	ok	unsat
BV/2018-Preiner-cav18/check_bvslt_bvconcat1_32_32bit.smt2	unknown	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2018-Preiner-cav18/check_bvslt_bvudiv0_64bit.smt2	unknown	0.11	ok	unsat	1.51	ok	unsat	23.93	ok	unsat
BV/2018-Preiner-cav18/check_bvuge_bvconcat1_4_4bit.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2018-Preiner-cav18/check_bvuge_bvudiv1_4bit.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2018-Preiner-cav18/check_bvugt_bvconcat1_64_64bit.smt2	unknown	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2018-Preiner-cav18/check_bvugt_bvurem0_32bit.smt2	unknown	0.11	ok	unknown	24.13	ok	unknown	26.21	rc134	unsat
BV/2018-Preiner-cav18/check_bvule_bvlshr0_4bit.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2018-Preiner-cav18/check_bvule_bvurem0_64bit.smt2	unknown	0.11	ok	unsat	0.11	ok	unknown	26.21	rc134	unsat
BV/2018-Preiner-cav18/check_bvult_bvlshr1_32bit.smt2	unknown	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2018-Preiner-cav18/check_bvult_bvurem1_4bit.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2018-Preiner-cav18/check_eq_bvlshr1_64bit.smt2	unknown	0.11	ok	unsat	1.21	ok	unsat	2.31	ok	unsat
BV/2018-Preiner-cav18/check_ne_bvadd_32bit.smt2	unknown	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2018-Preiner-cav18/check_ne_bvmul_4bit.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/20190429-UltimateAutomizerSvcomp2019/float_req_bl_0730b_true-unreach-call.c_30.smt2	unknown	0.11	ok	sat	0.11	ok	sat	0.11	ok	unknown
BV/20190429-UltimateAutomizerSvcomp2019/jain_6_true-unreach-call_true-no-overflow_false-termination.i_0.smt2	unknown	0.11	ok	sat	3.01	ok	sat	0.11	ok	sat
BV/20190429-UltimateAutomizerSvcomp2019/jain_7_true-unreach-call_true-no-overflow_false-termination.i_18.smt2	unknown	0.41	ok	unsat	17.92	ok	unsat	0.71	ok	unsat
BV/2020-Preiner-fmcad20/cons/check_cc_bvadd_x_s_32.smt2	unknown	0.11	ok	unknown	24.03	ok	unknown	26.21	rc134	unsat
BV/2020-Preiner-fmcad20/cons/check_cc_bvslt_s_x_4.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2020-Preiner-fmcad20/cons/check_cc_udiv_s_x_64.smt2	unknown	0.11	ok	unknown	24.13	ok	unknown	26.21	rc134	unsat
BV/2020-Preiner-fmcad20/inv/check_ic_bvmul_x_s_32.smt2	unknown	0.11	ok	unknown	24.13	ok	unknown	26.21	rc134	unsat
BV/2020-Preiner-fmcad20/inv/check_ic_bvuge_x_s_4.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/2020-Preiner-fmcad20/inv/check_ic_sext_2_64.smt2	unknown	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
BV/20210330-PEak/no-extern-loop_sat_subset/easy1.smt2	unknown	23.13	ok	sat	0.21	ok	unknown	26.21	rc134	sat
BV/20230321-UltimateAutomizerSvcomp2023/btor2c-eagerMod.sw_ball2001.c_10.smt2	unknown	25.03	ok	unknown	24.13	ok	sat	0.11	ok	unknown
