file	verdict	wall_ms	detail
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_Heap_ab_cti_max.smt2	unknown	321	unknown kind=ResourceLimit detail: declared-sort lazy CEGAR refuses 68 congruence pairs (bound 64): measured refinement over the bit-vector encoding does not converge within realistic budgets at this size and starves the enclosing instantiation search 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_cambridge.7.prop2_ab_fp_max.smt2	unknown	2114	unknown kind=ResourceLimit detail: declared-sort lazy CEGAR refuses 1009 congruence pairs (bound 64): measured refinement over the bit-vector encoding does not converge within realistic budgets at this size and starves the enclosing instantiation search 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_hanoi.3.prop1_ab_br_max.smt2	unknown	3315	unknown kind=ResourceLimit detail: declared-sort lazy CEGAR refuses 8425 congruence pairs (bound 64): measured refinement over the bit-vector encoding does not converge within realistic budgets at this size and starves the enclosing instantiation search 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_rushhour.3.prop1_ab_cti_max.smt2	unknown	24131	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/NEQ/NEQ033_size6.smt2	unknown	24442	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/PEQ/PEQ013_size5.smt2	unsat	22639	unsat 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/loops6/dead_dnd015.smt2	unsat	4420	unsat 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/dead_dnd011.smt2	unsat	8224	unsat 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/dead_dnd048.smt2	unsat	13436	unsat 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn093.smt2	unsat	16130	unsat 
