file	verdict	wall_ms	detail
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_Heap_ab_cti_max.smt2	unknown	214	unknown kind=ResourceLimit detail: declared-sort lazy CEGAR refuses 68 congruence pairs (bound 64): measured refinement over the bit-vector encoding does not converge within realistic budgets at this size and starves the enclosing instantiation search 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_cambridge.7.prop2_ab_fp_max.smt2	unknown	1613	unknown kind=ResourceLimit detail: declared-sort lazy CEGAR refuses 1009 congruence pairs (bound 64): measured refinement over the bit-vector encoding does not converge within realistic budgets at this size and starves the enclosing instantiation search 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_hanoi.3.prop1_ab_br_max.smt2	unknown	2620	unknown kind=ResourceLimit detail: declared-sort lazy CEGAR refuses 8425 congruence pairs (bound 64): measured refinement over the bit-vector encoding does not converge within realistic budgets at this size and starves the enclosing instantiation search 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/2018-Goel-hwbench/QF_UF_rushhour.3.prop1_ab_cti_max.smt2	unknown	24138	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/NEQ/NEQ033_size6.smt2	unknown	24440	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/PEQ/PEQ013_size5.smt2	unsat	22345	unsat 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/loops6/dead_dnd015.smt2	unsat	4425	unsat 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/dead_dnd011.smt2	unsat	8415	unsat 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/dead_dnd048.smt2	unsat	13624	unsat 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn093.smt2	unsat	16332	unsat 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn1195.smt2	unsat	3416	unsat 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn1262.smt2	unsat	3120	unsat 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn838.smt2	unknown	24031	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_brn875.smt2	unsat	21540	unsat 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl1031.smt2	unknown	24041	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl1166.smt2	unsat	5112	unsat 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl147.smt2	unsat	22335	unsat 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl295.smt2	unsat	8423	unsat 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl332.smt2	unsat	9323	unsat 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl443.smt2	unsat	3611	unsat 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl517.smt2	unsat	5313	unsat 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl554.smt2	unsat	11723	unsat 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl591.smt2	unknown	24026	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl628.smt2	unsat	3508	unsat 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl702.smt2	unsat	3609	unsat 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl776.smt2	unknown	24029	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl813.smt2	unsat	10424	unsat 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl850.smt2	unsat	12028	unsat 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl887.smt2	unsat	2609	unsat 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl924.smt2	unsat	3710	unsat 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl961.smt2	unsat	4913	unsat 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg5/gensys_icl998.smt2	unsat	3510	unsat 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg6/iso_icl_nogen_sk009.smt2	unsat	23031	unsat 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg7/gensys_brn_sk015.smt2	sat	13624	sat 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg7/gensys_brn_sk052.smt2	sat	8929	sat 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg7/iso_brn_nogen005.smt2	unknown	24937	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg7/iso_brn_repgen004.smt2	unknown	24031	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve 
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_UF/QG-classification/qg7/iso_icl_repgen004.smt2	unknown	24029	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve 
