file	L2S0_1	L2S0_2	L2S0_3	L2S3_1	L2S3_2	L2S3_3	L3S0_1	L3S0_2	L3S0_3	L3S3_1	L3S3_2	L3S3_3	L2S0	L2S3	L3S0	L3S3
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFNIA/2019-Preiner/partial/t3_rw21.smt2	unsat/0/107	unsat/0/106	unsat/0/106	unsat/0/106	unsat/0/106	unsat/0/107	unsat/0/106	unsat/0/107	unsat/0/106	unsat/0/106	unsat/0/106	unsat/0/106	DECIDED	DECIDED	DECIDED	DECIDED
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFNIA/2019-Preiner/qf/f2_rw163.smt2	unsat/0/507	unsat/0/506	unsat/0/506	unsat/0/506	unsat/0/505	unsat/0/506	unsat/0/507	unsat/0/507	unsat/0/506	unsat/0/505	unsat/0/505	unsat/0/506	DECIDED	DECIDED	DECIDED	DECIDED
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFNIA/2019-Zohar-ic/full/int_check_bvugt_bvneg_ltr_inv_g.smt2	unsat/0/106	unsat/0/107	unsat/0/106	unsat/0/106	unsat/0/105	unsat/0/106	unsat/0/106	unsat/0/106	unsat/0/106	unsat/0/106	unsat/0/106	unsat/0/106	DECIDED	DECIDED	DECIDED	DECIDED
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p29986_safety_0.smt2	unknown/0/24118	unknown/0/24121	unknown/0/24127	unknown/0/24119	unknown/0/24124	unknown/0/24124	unknown/0/24119	unknown/0/24114	unknown/0/24126	unknown/0/24119	unknown/0/24119	unknown/0/24119	UNDECIDED	UNDECIDED	UNDECIDED	UNDECIDED
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__n-7.t2_fixed__p4922_terminationG_0.smt2	unknown/0/24119	unknown/0/24121	unknown/0/24222	unknown/0/24130	unknown/0/24224	unknown/0/24120	unknown/0/24124	unknown/0/24122	unknown/0/24117	unknown/0/24119	unknown/0/24116	unknown/0/24119	UNDECIDED	UNDECIDED	UNDECIDED	UNDECIDED
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/UltimateLassoRanker/LarrazOliverasRodriguez-CarbonellRubio-2013FMCAD-Fig1-alloca_unknown-termination.c.i_Iteration6_Lasso+nonterminationTemplate.smt2	unknown/0/24217	unknown/0/24228	unknown/0/24218	unsat/0/5108	unsat/0/5108	unsat/0/5108	unknown/0/24219	unknown/0/24217	unknown/0/24218	unsat/0/4911	unsat/0/4909	unsat/0/4908	UNDECIDED	DECIDED	UNDECIDED	DECIDED
