file	patched_verdict	patched_ms	patched_head	baseline_verdict	baseline_kind	z3	cvc5	declared
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__SortCount.jar-obl-10__terminationS_2_0.smt2	unknown-Timeout	24230	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	unsat	unsat	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p4414_safety_0.smt2	unknown-Timeout	24430	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	other	timeout	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p4676_safety_0.smt2	unknown-Timeout	24628	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	other	timeout	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p4943_safety_0.smt2	unknown-Timeout	24729	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p5184_terminationG_0.smt2	killed	32639		unknown	EncodingBudget	other	timeout	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p29879_safety_0.smt2	unknown-Timeout	24627	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	other	timeout	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p30175_safety_0.smt2	unknown-Timeout	24735	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	other	timeout	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p30440_safety_0.smt2	unknown-Timeout	24731	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	other	timeout	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p30726_safety_0.smt2	unknown-Timeout	24733	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p30967_safety_0.smt2	unknown-Timeout	24630	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	sat	timeout	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31253_safety_0.smt2	unknown-Timeout	24437	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31541_safety_0.smt2	unknown-Timeout	24531	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	sat	timeout	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31818_safety_0.smt2	unknown-Timeout	24332	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	sat	sat	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32069_safety_0.smt2	unknown-Timeout	28735	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	sat	timeout	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32332_safety_0.smt2	unknown-Timeout	24535	unknown kind=Timeout detail: preprocessed dispatch timeout after reduced solve	unknown	EncodingBudget	sat	timeout	sat
