file	declared_status	bytes	max_int_literal	min_signed_width	live_ladder_rungs	axeyum_verdict	axeyum_kind	axeyum_ms	axeyum_detail	decisive_route	decisive_reason	decisive_detail	z3_verdict	z3_ms	cvc5_verdict	cvc5_ms
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__2Nested_true-termination.c__p20185_terminationG_0.smt2	sat	7147	2017	12	7	sat	-	7316		nia-linearize			sat	511	timeout	32261
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChenFlurMukhopadhyay-SAS2012-Ex2.02_false-termination.c__p21008_terminationG_0.smt2	sat	7360	2017	12	7	unknown	Timeout	24136	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	sat	6312	timeout	30210
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChenFlurMukhopadhyay-SAS2012-Ex2.14_false-termination.c__p21457_edge_closing_0.smt2	sat	8597	2017	12	7	unknown	Timeout	24131	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	sat	2712	timeout	35355
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChenFlurMukhopadhyay-SAS2012-Ex3.06_false-termination.c__p22014_terminationG_0.smt2	unknown	30131	50001	17	2	unknown	Timeout	24132	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	unsat	7419	timeout	29229
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__DivWithoutMinus.c__p22517_edge_closing_0.smt2	sat	18319	2017	12	7	unknown	Timeout	24131	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	sat	15719	timeout	34325
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GCD.c__p23185_terminationG_0.smt2	sat	63500	2017	12	7	unknown	Timeout	24135	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	other	24031	timeout	27234
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23483_edge_closing_0.smt2	unknown	23222	2017	12	7	unknown	Timeout	24130	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	other	24036	timeout	27297
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex5_false-termination.c__p24052_edge_closing_0.smt2	sat	3587	2017	12	7	unknown	Timeout	24128	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	sat	810	timeout	28357
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__MirrorIntervSim.c__p24484_terminationG_0.smt2	unsat	6790	2017	12	7	unknown	Timeout	24129	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	other	24035	timeout	28355
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__NonTermination2_false-termination.c__p24932_edge_closing_0.smt2	sat	9872	50001	17	2	unknown	Timeout	24129	preprocessed dispatch timeout after reduced solve	int-blast-ladder	budget	integer bit-blast width ladder: wall-clock timeout reached	sat	6214	timeout	30415
