file	verdict	rc	attempts	decided_by	bound_by	last	bound_ms	total_ms	open_after	open_ms	deepest	giveup
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_at.1.prop1_ab_cti_max.smt2	unknown	0	18	ufbv-online-cdclt	dl-online	fd:bounded-completeness-unsat	601	1226	na	na	na	give-up kind=ResourceLimit detail=online UFBV has 1499 semantic atoms, exceeding the cap of 1024
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_brp.2.prop1_ab_cti_max.smt2	unknown	0	18	ufbv-online-cdclt	dl-online	fd:bounded-completeness-unsat	637	689	na	na	na	give-up kind=ResourceLimit detail=online UFBV has 1205 semantic atoms, exceeding the cap of 1024
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_cambridge.2.prop1_ab_cti_max.smt2	unknown	0	14	none	dl-online	fd:bounded-completeness-unsat	607	642	na	na	na	give-up kind=ResourceLimit detail=online UFBV has 2139 semantic atoms, exceeding the cap of 1024
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_collision.3.prop1_ab_cti_max.smt2	unknown	0	18	ufbv-online-cdclt	ufbv-online-cdclt	fd:bounded-completeness-unsat	650	1280	na	na	na	give-up kind=ResourceLimit detail=online UFBV has 1394 semantic atoms, exceeding the cap of 1024
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_exit.2.prop1_ab_cti_max.smt2	unknown	0	14	none	dl-online	fd:bounded-completeness-unsat	643	670	na	na	na	give-up kind=ResourceLimit detail=online UFBV has 1602 semantic atoms, exceeding the cap of 1024
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_extinction.4.prop1_ab_reg_max.smt2	unknown	0	14	none	dl-online	fd:bounded-completeness-unsat	654	702	na	na	na	give-up kind=ResourceLimit detail=online UFBV has 3425 semantic atoms, exceeding the cap of 1024
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_fischer.6.prop1_ab_cti_max.smt2	unknown	0	18	ufbv-online-cdclt	ufbv-online-cdclt	fd:bounded-completeness-unsat	6283	6904	na	na	na	give-up kind=ResourceLimit detail=online UFBV has 1519 semantic atoms, exceeding the cap of 1024
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_gear.1.prop2_ab_reg_max.smt2	unknown	0	14	none	dl-online	fd:bounded-completeness-unsat	619	642	na	na	na	give-up kind=ResourceLimit detail=online UFBV has 1463 semantic atoms, exceeding the cap of 1024
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_lamport.6.prop1_ab_cti_max.smt2	unknown	0	14	none	dl-online	fd:bounded-completeness-unsat	637	663	na	na	na	give-up kind=ResourceLimit detail=online UFBV has 1375 semantic atoms, exceeding the cap of 1024
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_leader_election.4.prop1_ab_reg_max.smt2	unknown	0	14	none	dl-online	fd:bounded-completeness-unsat	734	796	na	na	na	give-up kind=NodeBudget detail=online UFBV input has 23184 DAG nodes, exceeding the admission cap of 16384
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_lifts.3.prop1_ab_reg_max.smt2	unknown	0	14	none	dl-online	fd:bounded-completeness-unsat	770	836	na	na	na	give-up kind=NodeBudget detail=online UFBV input has 26732 DAG nodes, exceeding the admission cap of 16384
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_mcs.6.prop1_ab_cti_max.smt2	unknown	0	14	none	dl-online	fd:bounded-completeness-unsat	637	662	na	na	na	give-up kind=ResourceLimit detail=online UFBV has 1601 semantic atoms, exceeding the cap of 1024
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_plc.3.prop2_ab_cti_max.smt2	unknown	0	14	none	dl-online	fd:bounded-completeness-unsat	1122	1211	na	na	na	give-up kind=NodeBudget detail=online UFBV input has 32021 DAG nodes, exceeding the admission cap of 16384
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_rushhour.2.prop1_ab_reg_max.smt2	unknown	0	14	none	dl-online	fd:bounded-completeness-unsat	766	829	na	na	na	give-up kind=NodeBudget detail=online UFBV input has 21367 DAG nodes, exceeding the admission cap of 16384
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_synapse.4.prop1_ab_cti_max.smt2	unknown	0	14	none	dl-online	fd:bounded-completeness-unsat	866	921	na	na	na	give-up kind=NodeBudget detail=online UFBV input has 22142 DAG nodes, exceeding the admission cap of 16384
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv8_bv_telephony.2.prop1_ab_cti_max.smt2	unknown	0	14	none	dl-online	fd:bounded-completeness-unsat	660	689	na	na	na	give-up kind=ResourceLimit detail=online UFBV has 1978 semantic atoms, exceeding the cap of 1024
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_at.3.prop1_ab_reg_max.smt2	unknown	0	14	none	dl-online	fd:bounded-completeness-unsat	609	632	na	na	na	give-up kind=ResourceLimit detail=online UFBV has 1398 semantic atoms, exceeding the cap of 1024
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_brp2.2.prop2_ab_cti_max.smt2	unknown	0	18	ufbv-online-cdclt	ufbv-online-cdclt	fd:bounded-completeness-unsat	5584	6226	na	na	na	give-up kind=ResourceLimit detail=online UFBV has 1346 semantic atoms, exceeding the cap of 1024
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_collision.3.prop1_ab_cti_max.smt2	unknown	0	18	ufbv-online-cdclt	ufbv-online-cdclt	fd:bounded-completeness-unsat	1627	2462	na	na	na	give-up kind=ResourceLimit detail=online UFBV has 1417 semantic atoms, exceeding the cap of 1024
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_exit.4.prop1_ab_cti_max.smt2	unknown	0	14	none	dl-online	fd:bounded-completeness-unsat	1147	1177	na	na	na	give-up kind=ResourceLimit detail=online UFBV has 1602 semantic atoms, exceeding the cap of 1024
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_firewire_tree.1.prop2_ab_reg_max.smt2	unknown	0	14	none	dl-online	fd:bounded-completeness-unsat	2148	2391	na	na	na	give-up kind=NodeBudget detail=online UFBV input has 68165 DAG nodes, exceeding the admission cap of 16384
QF_UFBV/2018-Goel-hwbench/QF_UFBV_bv_bv_gear.1.prop1_ab_cti_max.smt2	unknown	0	14	none	dl-online	fd:bounded-completeness-unsat	875	903	na	na	na	give-up kind=ResourceLimit detail=online UFBV has 1476 semantic atoms, exceeding the cap of 1024
