core	run_rc	verdict	dump_rows	admitted_rows
UFLIA_boogie_AdvancedTypes_InternalSubClass..ctor-orderStrength_1.smt2.core.smt2	0	unknown	3665	1772
UFLIA_boogie_Arrays_Q3-noinfer.smt2.core.smt2	0	unsat	0	0
UFLIA_boogie_AssignToRepField_AssignToRepField.N.smt2.core.smt2	0	unknown	1330	102
UFLIA_boogie_BasicMethodology_SubClass..ctor.smt2.core.smt2	0	unknown	3209	988
UFLIA_boogie_Cast_Cast.R_System.Object_System.Int32.smt2.core.smt2	0	unknown	34	32
UFLIA_boogie_Chunker11c_Chunker.SpecSharp.CheckInvariant_System.Boolean.smt2.core.smt2	0	unknown	1232	1229
UFLIA_boogie_DefaultLoopInv0_A.M-modifiesOnLoop-noinfer.smt2.core.smt2	0	unknown	1086	0
UFLIA_boogie_ExposeVersion_D..ctor-level_2.smt2.core.smt2	0	unknown	2913	208
UFLIA_boogie_Interval_Cell.Shift_System.Int32.smt2.core.smt2	0	unknown	1451	18
UFLIA_boogie_Spouse_Person..ctor.smt2.core.smt2	0	unknown	3834	2058
UFLIA_boogie_loopinv1_LoopInv1.Test1a_F_notnull-infer_eh.smt2.core.smt2	0	unknown	1651	271
UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.core.smt2	0	unsat	0	0
UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.core.smt2	0	unsat	2854	2828
UFLIA_grasshopper_uninstantiated_merge_loop_check_heap_access_60_6.smt2.core.smt2	0	unknown	5673	5663
UFLIA_simplify_javafe.ast.CatchClauseVec.66.smt2.core.smt2	0	unknown	230	193
UFLIA_simplify_javafe.ast.LexicalPragmaVec.219.smt2.core.smt2	0	unknown	112	66
UFLIA_simplify_javafe.ast.NewInstanceExpr.271.smt2.core.smt2	0	unknown	516	4
UFLIA_simplify_javafe.ast.StandardPrettyPrint.322.smt2.core.smt2	0	unsat	0	0
UFLIA_simplify_javafe.ast.TypeDeclElemPragma.373.smt2.core.smt2	0	unknown	174	150
UFLIA_simplify_javafe.ast.UnaryExpr.424.smt2.core.smt2	0	unknown	500	0
UFLIA_simplify_javafe.parser.TokenQueue.576.smt2.core.smt2	0	unsat	452	444
UFLIA_simplify_tohtml.Java2Html.832.smt2.core.smt2	0	unknown	1079	981
UFLIA_simplify2_front_end_suite_javafe.PrintSpec.012.smt2.core.smt2	0	unsat	0	0
UFLIA_simplify2_front_end_suite_javafe.ast.ImportDeclVec.015.smt2.core.smt2	0	unknown	516	475
UFLIA_simplify2_front_end_suite_javafe.ast.LabelStmt.011.smt2.core.smt2	0	unsat	0	0
UFLIA_simplify2_front_end_suite_javafe.ast.MethodDecl.005.smt2.core.smt2	0	unknown	8183	0
UFLIA_simplify2_front_end_suite_javafe.ast.ParenExpr.006.smt2.core.smt2	0	unsat	307	295
UFLIA_simplify2_front_end_suite_javafe.ast.StandardPrettyPrint.008.smt2.core.smt2	0	unsat	0	0
UFLIA_simplify2_front_end_suite_javafe.ast.TypeModifierPragmaVec.013.smt2.core.smt2	0	unknown	1011	973
UFLIA_simplify2_front_end_suite_javafe.ast.VariableAccess.001.smt2.core.smt2	0	unsat	0	0
UFLIA_simplify2_front_end_suite_javafe.filespace.HashTree.001.smt2.core.smt2	0	unknown	645	621
UFLIA_simplify2_front_end_suite_javafe.filespace.ZipTree.005.smt2.core.smt2	0	unknown	53	0
UFLIA_simplify2_front_end_suite_javafe.parser.Parse.005.smt2.core.smt2	0	unknown	356	342
UFLIA_simplify2_front_end_suite_javafe.parser.TagConstants.001.smt2.core.smt2	0	unknown	291	0
UFLIA_simplify2_front_end_suite_javafe.reader.CachedReader.003.smt2.core.smt2	0	unknown	1061	1028
UFLIA_simplify2_front_end_suite_javafe.tc.EnvForLocals.007.smt2.core.smt2	0	unknown	1625	0
UFLIA_simplify2_front_end_suite_javafe.tc.FlowInsensitiveChecks.017.smt2.core.smt2	0	unknown	10165	0
UFLIA_simplify2_front_end_suite_javafe.tc.TypeSig.001.smt2.core.smt2	0	unknown	3905	3899
UFLIA_simplify2_front_end_suite_javafe.tc.TypeSigVec.005.smt2.core.smt2	0	unknown	740	690
UFLIA_simplify2_front_end_suite_javafe.tc.Types.035.smt2.core.smt2	0	unknown	299	296
UFLIA_simplify2_front_end_suite_javafe.test.SuperlinksTest.004.smt2.core.smt2	0	unknown	4208	4129
UFLIA_simplify2_small_suite_getRootInterface.smt2.core.smt2	0	unknown	745	0
UFLIA_sledgehammer_FFT_smtlib.898060.smt2.core.smt2	0	unknown	0	0
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.1057395.smt2.core.smt2	0	unsat	0	0
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.1462528.smt2.core.smt2	0	unknown	0	0
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.972059.smt2.core.smt2	0	unsat	0	0
UFLIA_sledgehammer_Hoare_smtlib.1175889.smt2.core.smt2	0	unsat	0	0
UFLIA_sledgehammer_Hoare_smtlib.581330.smt2.core.smt2	0	unknown	0	0
UFLIA_sledgehammer_Hoare_smtlib.993567.smt2.core.smt2	0	unsat	0	0
UFLIA_sledgehammer_QEpres_smtlib.1065390.smt2.core.smt2	0	unsat	0	0
UFLIA_sledgehammer_QEpres_smtlib.1120322.smt2.core.smt2	0	unsat	0	0
UFLIA_sledgehammer_QEpres_smtlib.1237382.smt2.core.smt2	0	unknown	106	105
UFLIA_tokeneer_auditlog_init-31.smt2.core.smt2	0	unknown	997	984
