file	replays	combined_replays	preceded_by_engaged
UFLIA/grasshopper/instantiated/delete_check_heap_access_53_12.smt2	3	3	3
UFLIA/grasshopper/instantiated/insertion_sort_postcondition_of_insertion_sort_63_1.smt2	2	2	2
UFLIA/sledgehammer/Arrow_Order/smtlib.832901.smt2	3	2	2
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1057395.smt2	3	1	1
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1282463.smt2	3	2	2
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1462528.smt2	1	1	1
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.972059.smt2	3	1	1
UFLIA/sledgehammer/QEpres/smtlib.1120322.smt2	3	2	2
UFLIA/sledgehammer/QEpres/smtlib.1237382.smt2	1	1	1
UFNIA/2019-Zohar-ic/full/int_check_bvslt_bvurem1_ltr_no_inv.smt2	2	2	2
UFNIA/20190909-CLEARSY/0023/00302.smt2	2	2	2
UFNIA/sledgehammer/Fundamental_Theorem_Algebra/z3.1031223.smt2	3	2	2
UFNIA/sledgehammer/TwoSquares/z3.861593.smt2	2	2	2
TOTAL	31	23	23
