file	verdict	rc	wall_s	kind	detail	decided_by	bound_by	last	bound_ms	total_ms	attempts	phase
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChenFlurMukhopadhyay-SAS2012-Ex3.06_false-termination.c__p22014_terminationG_0.smt2	unknown	0	150.4	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] combined-theory timeout after scalar backend	none	int-blast-ladder	fd:bounded-completeness-unsat	84927	150309	19	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Test13Loops.jar-obl-10__p12737_edge_closing_0.smt2	unknown	0	111.9	EncodingBudget	estimated 65340822 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	int-blast-ladder	fd:bounded-completeness-unsat	42467	109252	21	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Test6.jar-obl-13__terminationS_36_0.smt2	unknown	0	139.8	EncodingBudget	estimated 790937637 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	int-blast-ladder	fd:bounded-completeness-unsat	104060	139583	21	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Velroyen08-factorial.jar-obl-8__p13829_terminationG_0.smt2	unknown	0	150.2	Incomplete	bounded integer model overflowed at width 32 (assertion #2639 is false over exact semantics); widen the bound	none	int-blast-ladder	fd:bounded-completeness-unsat	80721	147513	19	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__cousot_rec.jar-obl-8__p28312_terminationG_0.smt2	unknown	0	150.3	Incomplete	bounded integer model overflowed at width 32 (assertion #1950 is false over exact semantics); widen the bound	none	int-blast-ladder	fd:bounded-completeness-unsat	58868	125565	21	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAll.jar-obl-11__p9492_safety_0.smt2	unknown	0	151.3	Watchdog	watchdog fired before the worker thread returned	none	none	none	-1	-1	-1	stack=none depth=0 in=none in_ms=na deepest=dpll-lia:new>dpll-lia:assert-all>dpll-lia:abstract enters=dl-online:check:1,dpll-lia:abstract:14754,dpll-lia:assert-all:2,dpll-lia:initial-lemmas:1,dpll-lia:new:2,dpll-lia:prop-assert:14753,dpll-lia:unspecified-scan:2,dpll-t:abstract:1,dpll-t:lra-dpll:3,lia:simplex-capped:1,nra:check:1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p7725_safety_0.smt2	unknown	0	121.4	EncodingBudget	estimated 489569292 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	int-blast-ladder	fd:bounded-completeness-unsat	85678	121244	20	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p7871_safety_0.smt2	unknown	0	150.4	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	114683	150297	20	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8065_safety_0.smt2	unknown	0	101.4	EncodingBudget	estimated 778086090 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	int-blast-ladder	fd:bounded-completeness-unsat	65125	101280	20	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8261_safety_0.smt2	unknown	0	150.2	EncodingBudget	estimated 244916484 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	int-blast-ladder	fd:bounded-completeness-unsat	61871	97013	20	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8434_safety_0.smt2	sat	0	58.5	none	none	nia-linearize	nia-linearize	nia-linearize	33314	58383	8	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8809_safety_0.smt2	unknown	0	107.4	EncodingBudget	estimated 323951043 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	41699	107339	20	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8992_safety_0.smt2	unknown	0	150.5	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	83453	150286	20	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p9188_safety_0.smt2	unknown	0	150.2	EncodingBudget	estimated 163078674 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	41682	99208	20	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__agafp.t2_fixed__terminationS_0_0.smt2	unknown	0	150.6	EncodingBudget	estimated 69834069 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	int-blast-ladder	fd:bounded-completeness-unsat	41780	108525	21	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__apchild-live.t2_fixed__p16479_terminationG_0.smt2	unknown	0	151.2	Watchdog	watchdog fired before the worker thread returned	none	none	none	-1	-1	-1	stack=none depth=0 in=none in_ms=na deepest=dpll-lia:new>dpll-lia:assert-all>dpll-lia:abstract enters=dl-online:check:1,dpll-lia:abstract:33945,dpll-lia:assert-all:2,dpll-lia:initial-lemmas:1,dpll-lia:new:2,dpll-lia:prop-assert:33944,dpll-lia:unspecified-scan:2,dpll-t:abstract:1,dpll-t:lra-dpll:3,lia:simplex-capped:1,nra:check:1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__broydn.c.i.broydn.pl.t2.fixed.t2__term_unfeasibility_3_0.smt2	unknown	0	113.4	EncodingBudget	estimated 147657063 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	int-blast-ladder	fd:bounded-completeness-unsat	78042	113254	20	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__consts5nt.t2__p18457_edge_closing_0.smt2	unknown	0	150.6	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] combined-theory timeout after scalar backend	none	int-blast-ladder	fd:bounded-completeness-unsat	83573	150467	21	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__db2.t2_fixed__terminationS_29_0.smt2	unknown	0	151.2	Watchdog	watchdog fired before the worker thread returned	none	none	none	-1	-1	-1	stack=none depth=0 in=none in_ms=na deepest=dpll-lia:new>dpll-lia:assert-all>dpll-lia:abstract enters=dl-online:check:1,dpll-lia:abstract:4962,dpll-lia:assert-all:2,dpll-lia:initial-lemmas:1,dpll-lia:new:2,dpll-lia:prop-assert:4961,dpll-lia:unspecified-scan:2,dpll-t:abstract:1,dpll-t:lra-dpll:3,lia:simplex-capped:1,nra:check:1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__efegp.t2__p21963_edge_closing_0.smt2	unknown	0	151.3	Watchdog	watchdog fired before the worker thread returned	none	none	none	-1	-1	-1	stack=none depth=0 in=none in_ms=na deepest=dpll-lia:new>dpll-lia:assert-all>dpll-lia:abstract enters=dl-online:check:1,dpll-lia:abstract:11826,dpll-lia:assert-all:5,dpll-lia:finish-sat:1,dpll-lia:initial-lemmas:4,dpll-lia:justified-support:79,dpll-lia:new:5,dpll-lia:prop-assert:11825,dpll-lia:prop-solve:79,dpll-lia:solve:2,dpll-lia:theory-conflicts:80,dpll-lia:unspecified-scan:5,dpll-t:abstract:1,dpll-t:lra-dpll:3,lia:simplex-capped:415,nra:check:1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__fun1b.t2__terminationS_11_0.smt2	unknown	0	136.8	EncodingBudget	estimated 776394411 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	int-blast-ladder	fd:bounded-completeness-unsat	100881	136652	21	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__fun9.t2__p1346_edge_closing_0.smt2	unknown	0	150.6	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	75013	150464	20	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__fun9.t2__p1480_edge_closing_0.smt2	unknown	0	151.2	Watchdog	watchdog fired before the worker thread returned	none	none	none	-1	-1	-1	stack=none depth=0 in=none in_ms=na deepest=dpll-lia:new>dpll-lia:assert-all>dpll-lia:abstract enters=dl-online:check:1,dpll-lia:abstract:5602,dpll-lia:assert-all:5,dpll-lia:finish-sat:1,dpll-lia:initial-lemmas:4,dpll-lia:justified-support:186,dpll-lia:new:5,dpll-lia:prop-assert:5601,dpll-lia:prop-solve:186,dpll-lia:solve:2,dpll-lia:theory-conflicts:187,dpll-lia:unspecified-scan:5,dpll-t:abstract:1,dpll-t:lra-dpll:3,lia:simplex-capped:567,nra:check:1,simplex:run:604750
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__hqr.c.i.hqr.pl.t2.fixed.t2_fixed__terminationS_36_0.smt2	unknown	0	151.2	Watchdog	watchdog fired before the worker thread returned	none	none	none	-1	-1	-1	stack=none depth=0 in=none in_ms=na deepest=dpll-lia:new>dpll-lia:assert-all>dpll-lia:abstract enters=dl-online:check:1,dpll-lia:abstract:7392,dpll-lia:assert-all:2,dpll-lia:initial-lemmas:1,dpll-lia:new:2,dpll-lia:prop-assert:7391,dpll-lia:unspecified-scan:2,dpll-t:abstract:1,dpll-t:lra-dpll:3,lia:simplex-capped:1,nra:check:1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__hqr.t2_fixed__terminationS_36_0.smt2	unknown	0	151.2	Watchdog	watchdog fired before the worker thread returned	none	none	none	-1	-1	-1	stack=none depth=0 in=none in_ms=na deepest=dpll-lia:new>dpll-lia:assert-all>dpll-lia:abstract enters=dl-online:check:1,dpll-lia:abstract:7392,dpll-lia:assert-all:2,dpll-lia:initial-lemmas:1,dpll-lia:new:2,dpll-lia:prop-assert:7391,dpll-lia:unspecified-scan:2,dpll-t:abstract:1,dpll-t:lra-dpll:3,lia:simplex-capped:1,nra:check:1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__n-10.t2__p3427_edge_closing_0.smt2	unknown	0	136.1	Incomplete	bounded integer model overflowed at width 32 (assertion #2096 is false over exact semantics); widen the bound	none	int-blast-ladder	fd:bounded-completeness-unsat	66332	133109	21	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__n-5.t2__p4694_edge_closing_0.smt2	unknown	0	151.2	Watchdog	watchdog fired before the worker thread returned	none	none	none	-1	-1	-1	stack=none depth=0 in=none in_ms=na deepest=dpll-lia:new>dpll-lia:assert-all>dpll-lia:abstract enters=dl-online:check:1,dpll-lia:abstract:9952,dpll-lia:assert-all:3,dpll-lia:finish-sat:1,dpll-lia:initial-lemmas:2,dpll-lia:justified-support:115,dpll-lia:new:3,dpll-lia:prop-assert:9951,dpll-lia:prop-solve:115,dpll-lia:solve:1,dpll-lia:theory-conflicts:116,dpll-lia:unspecified-scan:3,dpll-t:abstract:1,dpll-t:lra-dpll:3,lia:simplex-capped:117,nra:check:1
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__p-43-terminate.t2__term_unfeasibility_1_0.smt2	unknown	0	112.9	EncodingBudget	estimated 66688974 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	int-blast-ladder	fd:bounded-completeness-unsat	46044	112785	20	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__queens.t2__term_unfeasibility_1_0.smt2	unknown	0	125.6	EncodingBudget	estimated 78637941 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	int-blast-ladder	fd:bounded-completeness-unsat	58464	125370	20	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2__p20015_safety_0.smt2	unknown	0	150.2	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	83199	150040	19	none
