file	verdict	rc	wall_s	kind	detail	decided_by	bound_by	last	bound_ms	total_ms	attempts	phase
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChenFlurMukhopadhyay-SAS2012-Ex2.02_false-termination.c__p21008_terminationG_0.smt2	unknown	0	24.1	Incomplete	bounded integer model overflowed at width 32 (assertion #586 is false over exact semantics); widen the bound	none	nia-linearize	fd:bounded-completeness-unsat	7360	14850	21	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChenFlurMukhopadhyay-SAS2012-Ex3.06_false-termination.c__p22014_terminationG_0.smt2	unknown	0	24.1	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13396	24087	19	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__DivWithoutMinus.c__p22517_edge_closing_0.smt2	unknown	0	25.1	Watchdog	watchdog fired before the worker thread returned	none	none	none	-1	-1	-1	stack=none depth=0 in=none in_ms=na deepest=dpll-lia:new>dpll-lia:assert-all>dpll-lia:abstract enters=dl-online:check:1,dpll-lia:abstract:3538,dpll-lia:assert-all:3,dpll-lia:initial-lemmas:2,dpll-lia:justified-support:27,dpll-lia:new:3,dpll-lia:prop-assert:3537,dpll-lia:prop-solve:27,dpll-lia:solve:1,dpll-lia:theory-conflicts:27,dpll-lia:unspecified-scan:3,dpll-t:abstract:1,dpll-t:lra-dpll:3,lia:simplex-capped:1800,nra:check:1,simplex:run:151431
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__GulwaniJainKoskinen-PLDI2009-Fig1_true-termination.c__p23483_edge_closing_0.smt2	unknown	0	24.9	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] combined-theory timeout after scalar backend	none	int-blast-ladder	fd:bounded-completeness-unsat	14118	24826	21	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex5_false-termination.c__p24052_edge_closing_0.smt2	unknown	0	21.4	Incomplete	bounded integer model overflowed at width 32 (assertion #236 is false over exact semantics); widen the bound	none	nia-linearize	fd:bounded-completeness-unsat	7139	11064	21	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__NonTermination2_false-termination.c__p24932_edge_closing_0.smt2	unknown	0	20.8	Incomplete	bounded integer model overflowed at width 32 (assertion #779 is false over exact semantics); widen the bound	none	int-blast-ladder	fd:bounded-completeness-unsat	10233	19848	20	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__Sunset.c__terminationQ_0_0.smt2	unknown	0	18.1	Incomplete	bounded integer model overflowed at width 32 (assertion #376 is false over exact semantics); widen the bound	none	int-blast-ladder	fd:bounded-completeness-unsat	4821	5736	20	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25866_terminationG_0.smt2	unknown	0	24.3	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Timeout] combined-theory timeout after scalar backend	none	int-blast-ladder	fd:bounded-completeness-unsat	13485	24182	19	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__Benghazi_nondet_true-termination.c__p26690_terminationG_0.smt2	unknown	0	17.1	Incomplete	bounded integer model overflowed at width 32 (assertion #650 is false over exact semantics); widen the bound	none	nia-linearize	fd:bounded-completeness-unsat	6663	16659	19	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/CInteger/Ton_Chanh_15__Singapore_true-termination.c__p27347_terminationG_0.smt2	unknown	0	23.7	Incomplete	bounded integer model overflowed at width 32 (assertion #408 is false over exact semantics); widen the bound	none	nia-linearize	fd:bounded-completeness-unsat	7033	12110	21	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__FlattenTreeListRec.jar-obl-10__p29567_safety_0.smt2	unknown	0	25.1	Watchdog	watchdog fired before the worker thread returned	none	none	none	-1	-1	-1	stack=none depth=0 in=none in_ms=na deepest=dpll-lia:new>dpll-lia:assert-all>dpll-lia:abstract enters=dl-online:check:1,dpll-lia:abstract:4340,dpll-lia:assert-all:3,dpll-lia:initial-lemmas:2,dpll-lia:justified-support:29,dpll-lia:new:3,dpll-lia:prop-assert:4339,dpll-lia:prop-solve:29,dpll-lia:solve:1,dpll-lia:theory-conflicts:29,dpll-lia:unspecified-scan:3,dpll-t:abstract:1,dpll-t:lra-dpll:3,lia:simplex-capped:1323,nra:check:1,simplex:run:112743
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__MainDelete.jar-obl-10__p10430_safety_0.smt2	unknown	0	21.3	Incomplete	bounded integer model overflowed at width 32 (assertion #784 is false over exact semantics); widen the bound	none	nia-linearize	fd:bounded-completeness-unsat	6669	13677	19	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__SortCount.jar-obl-10__terminationS_2_0.smt2	unknown	0	10.9	EncodingBudget	estimated 150732237 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6705	10827	21	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Test13Loops.jar-obl-10__p12737_edge_closing_0.smt2	unknown	0	24.4	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13658	24370	21	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Test6.jar-obl-13__terminationS_36_0.smt2	unknown	0	24.2	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13118	24158	21	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Velroyen08-complInterv3.jar-obl-8__p13362_terminationG_0.smt2	unknown	0	24.1	Incomplete	bounded integer model overflowed at width 32 (assertion #288 is false over exact semantics); widen the bound	none	nia-linearize	fd:bounded-completeness-unsat	6857	13287	21	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Velroyen08-factorial.jar-obl-8__p13829_terminationG_0.smt2	unknown	0	24.2	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13441	24151	19	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Velroyen08-upAndDownIneq.jar-obl-8__terminationS_1_0.smt2	unknown	0	21.0	Incomplete	bounded integer model overflowed at width 32 (assertion #542 is false over exact semantics); widen the bound	none	int-blast-ladder	fd:bounded-completeness-unsat	10052	20751	21	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__cousot_rec.jar-obl-8__p28312_terminationG_0.smt2	unknown	0	24.1	Timeout	preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] integer bit-blast width ladder: wall-clock timeout reached	none	int-blast-ladder	fd:bounded-completeness-unsat	13397	24097	21	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p4676_safety_0.smt2	unknown	0	11.1	EncodingBudget	estimated 145454991 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6728	11002	19	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p4943_safety_0.smt2	unknown	0	11.1	EncodingBudget	estimated 109820226 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6741	11066	21	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p30726_safety_0.smt2	unknown	0	11.0	EncodingBudget	estimated 114749562 CNF clauses before lowering exceeds budget 64000000 (oversized encoding refused gracefully)	none	nia-linearize	fd:bounded-completeness-unsat	6702	10980	20	none
