file	order	a_verdict	a_s	a_rc	a_giveup	b_verdict	b_s	b_rc	b_giveup
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/bench_ab/b165test0007.smt2	ab	sat	0.1	0	none	sat	0.1	0	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_noof_functions_dwp_df.get_quoting_style.il.dwp.smt2	ba	sat	0.2	0	none	sat	0.2	0	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_noof_functions_dwp_vdir.hash_string.il.dwp.smt2	ab	sat	0.1	0	none	sat	0.1	0	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_sameret_functions_dwp_mv.get_quoting_style.il.dwp.smt2	ba	sat	1.3	0	none	sat	1.2	0	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_sameret_functions_dwp_unexpand.get_quoting_style.il.dwp.smt2	ab	sat	1.3	0	none	sat	1.3	0	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_vdir.hash_get_n_entries.il.fse-bfs.smt2	ba	sat	0.1	0	none	sat	0.1	0	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try3_true_functions_dwp_split.set_quoting_style.il.dwp.smt2	ab	sat	0.2	0	none	sat	0.2	0	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try4_difret_functions_disjunctions_sha1sum.close_stdout_set_file_name.il.disjunctions_0.smt2	ba	sat	6.1	0	none	sat	5.7	0	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try4_difret_functions_disjunctions_vdir.strmode.il.disjunctions_6.smt2	ab	sat	18.1	0	none	sat	18.1	0	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try4_true_functions_dwp_tail.set_quoting_style.il.dwp.smt2	ba	sat	0.2	0	none	sat	0.2	0	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_setuidgid.quoting_options_from_style.il.dwp.smt2	ab	unsat	0.1	0	none	unsat	0.1	0	none
