file	base	base_ms	base_rc	base_bound_by	base_giveup	arm	arm_ms	arm_rc	arm_bound_by	arm_giveup	first	status
UF/20170428-Barrett/cdt-cade2015/nada/afp/abstract_completeness/x2015_09_10_16_59_33_621_1039748.smt_in.smt2	unknown	25437	0	q:uf-fmf-probe	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	none	14506	134	na	none	base	unknown
UF/20170428-Barrett/cdt-cade2015/nada/afp/abstract_completeness/x2015_09_10_17_00_22_297_1090463.smt_in.smt2	unsat	5615	0	q:uf-fmf-probe	none	unsat	5514	0	q:uf-fmf-probe	none	base	unsat
UF/20170428-Barrett/cdt-cade2015/nada/afp/abstract_completeness/x2015_09_10_17_01_14_404_1150262.smt_in.smt2	unsat	3414	0	q:uf-fmf-probe	none	unsat	3411	0	q:uf-fmf-probe	none	base	unsat
UF/20170428-Barrett/cdt-cade2015/nada/afp/bindag/x2015_09_10_16_53_11_421_1041162.smt_in.smt2	unsat	2210	0	q:uf-fmf-probe	none	unsat	2211	0	q:uf-fmf-probe	none	base	unsat
UF/20170428-Barrett/cdt-cade2015/nada/afp/bindag/x2015_09_10_16_53_56_537_1094926.smt_in.smt2	unknown	7118	0	q:mbqi	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 22 rounds (no further instance to admit; more rounds cannot help)	unknown	8017	0	q:mbqi	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 22 rounds (no further instance to admit; more rounds cannot help)	arm	unsat
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_51_06_177_1165813.smt_in.smt2	unknown	11522	0	q:mbqi	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 11 rounds (no further instance to admit; more rounds cannot help)	unknown	13122	0	q:mbqi	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 11 rounds (no further instance to admit; more rounds cannot help)	arm	unknown
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_52_38_347_1246149.smt_in.smt2	unsat	3414	0	q:uf-fmf-probe	none	unsat	3211	0	q:uf-fmf-probe	none	arm	unsat
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_54_53_962_1372467.smt_in.smt2	unknown	8419	0	q:uf-fmf-full	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 5 rounds (no further instance to admit; more rounds cannot help)	unknown	8417	0	q:uf-fmf-full	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 5 rounds (no further instance to admit; more rounds cannot help)	arm	unknown
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_55_51_081_1423271.smt_in.smt2	unsat	711	0	q:uf-fmf-probe	none	unsat	709	0	q:uf-fmf-probe	none	base	unsat
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_56_49_581_1468798.smt_in.smt2	unsat	509	0	q:uf-fmf-probe	none	unsat	509	0	q:uf-fmf-probe	none	base	unsat
