file	base	base_ms	base_rc	base_bound_by	base_giveup	arm	arm_ms	arm_rc	arm_bound_by	arm_giveup	first	status
AUFLIA/20170829-Rodin/smt1002232729905089644.smt2	unsat	208	0	q:uf-fmf-probe	none	unsat	207	0	q:uf-fmf-probe	none	base	unsat
AUFLIA/20170829-Rodin/smt1032124330408667615.smt2	unsat	108	0	q:forall-exists-witness	none	unsat	106	0	q:forall-exists-witness	none	base	unsat
AUFLIA/20170829-Rodin/smt1067115465308413335.smt2	unsat	109	0	q:mbqi-quick	none	unsat	107	0	q:mbqi-quick	none	base	unsat
AUFLIA/20170829-Rodin/smt1091711852231921911.smt2	unknown	3310	0	q:mbqi-quick	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 8 rounds (no further instance to admit; more rounds cannot help)	unknown	3411	0	q:mbqi-quick	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 8 rounds (no further instance to admit; more rounds cannot help)	base	unsat
AUFLIA/20170829-Rodin/smt1136788158000591388.smt2	sat	110	0	q:uf-fmf-probe	none	sat	107	0	q:uf-fmf-probe	none	arm	sat
AUFLIA/20170829-Rodin/smt1187674192038390930.smt2	unsat	609	0	q:mbqi-quick	none	unsat	809	0	q:mbqi-quick	none	arm	unsat
AUFLIA/20170829-Rodin/smt1231654042192635708.smt2	unknown	13324	0	q:mbqi	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 36 rounds (no further instance to admit; more rounds cannot help)	unknown	23626	0	q:mbqi	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 36 rounds (no further instance to admit; more rounds cannot help)	arm	unsat
AUFLIA/20170829-Rodin/smt1266019975548548376.smt2	unknown	1010	0	q:egraph	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: term #173 has sort (Uninterpreted 1) that the pure-Rust BV backend cannot bit-blast	unknown	1009	0	q:egraph	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: term #173 has sort (Uninterpreted 1) that the pure-Rust BV backend cannot bit-blast	arm	unsat
AUFLIA/20170829-Rodin/smt1311284198475742442.smt2	unsat	3914	0	q:mbqi	none	unsat	1810	0	q:mbqi-quick	none	base	unsat
AUFLIA/20170829-Rodin/smt1355243903664952549.smt2	unsat	4514	0	q:mbqi	none	unsat	2308	0	q:mbqi-quick	none	base	unsat
AUFLIA/20170829-Rodin/smt1401701765209513818.smt2	unsat	110	0	q:mbqi-quick	none	unsat	109	0	q:mbqi-quick	none	base	unsat
AUFLIA/20170829-Rodin/smt1450100185779015749.smt2	unknown	7117	0	q:mbqi	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 20 rounds (no further instance to admit; more rounds cannot help)	unknown	8218	0	q:mbqi	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 20 rounds (no further instance to admit; more rounds cannot help)	base	unknown
AUFLIA/20170829-Rodin/smt1481896474875423539.smt2	unknown	24228	0	q:uf-fmf-probe	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 12 rounds (no further instance to admit; more rounds cannot help)	unknown	24132	0	q:uf-fmf-probe	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 12 rounds (no further instance to admit; more rounds cannot help)	arm	unsat
AUFLIA/20170829-Rodin/smt1514353444141411009.smt2	unknown	14523	0	q:mbqi	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 6 rounds (no further instance to admit; more rounds cannot help)	unknown	17921	0	q:mbqi	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 6 rounds (no further instance to admit; more rounds cannot help)	arm	unsat
AUFLIA/20170829-Rodin/smt1573867544468288275.smt2	unsat	110	0	q:mbqi-quick	none	unsat	109	0	q:mbqi-quick	none	arm	unsat
AUFLIA/20170829-Rodin/smt1631959920870685887.smt2	sat	109	0	q:uf-fmf-probe	none	sat	108	0	q:uf-fmf-probe	none	arm	sat
AUFLIA/20170829-Rodin/smt166962401924695243.smt2	unknown	2612	0	q:mbqi-quick	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 44 rounds (no further instance to admit; more rounds cannot help)	unknown	2612	0	q:mbqi	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 44 rounds (no further instance to admit; more rounds cannot help)	base	unsat
AUFLIA/20170829-Rodin/smt1698635312226909992.smt2	unknown	25037	0	q:mbqi-quick	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	unknown	25034	0	q:mbqi-quick	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	base	unknown
AUFLIA/20170829-Rodin/smt1729704176254333878.smt2	unsat	110	0	q:ground-subset	none	unsat	108	0	q:ground-subset	none	base	unsat
AUFLIA/20170829-Rodin/smt1771627171023737362.smt2	unsat	109	0	q:mbqi-quick	none	unsat	108	0	q:mbqi-quick	none	base	unsat
AUFLIA/20170829-Rodin/smt180530979292279200.smt2	unsat	110	0	fd:parse	none	unsat	109	0	fd:parse	none	arm	unsat
AUFLIA/20170829-Rodin/smt1843139230315038241.smt2	unknown	22334	0	q:egraph	give-up kind=Incomplete detail=e-matching instantiation stopped after 4 rounds: the remaining budget could not fit another round with growth headroom	unknown	24134	0	q:egraph	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 4 rounds (no further instance to admit; more rounds cannot help)	arm	unsat
AUFLIA/20170829-Rodin/smt1884909837291707695.smt2	unsat	110	0	q:mbqi-quick	none	unsat	108	0	q:mbqi-quick	none	arm	unsat
AUFLIA/20170829-Rodin/smt1922106165112082235.smt2	unsat	811	0	q:mbqi-quick	none	unsat	1109	0	q:mbqi-quick	none	arm	unsat
AUFLIA/20170829-Rodin/smt1938054442494340361.smt2	unsat	110	0	q:mbqi-quick	none	unsat	108	0	q:mbqi-quick	none	base	unsat
AUFLIA/20170829-Rodin/smt1980762352511898835.smt2	unknown	18828	0	q:egraph	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 22 rounds (no further instance to admit; more rounds cannot help)	unknown	24634	0	q:egraph	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 22 rounds (no further instance to admit; more rounds cannot help)	base	unsat
AUFLIA/20170829-Rodin/smt2019974996567731041.smt2	sat	110	0	q:uf-fmf-probe	none	sat	108	0	q:uf-fmf-probe	none	base	sat
AUFLIA/20170829-Rodin/smt2078011795280993964.smt2	unknown	6615	0	q:mbqi	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 22 rounds (no further instance to admit; more rounds cannot help)	unknown	7415	0	q:mbqi-quick	give-up kind=Incomplete detail=e-matching instantiation reached fixpoint without refuting after 22 rounds (no further instance to admit; more rounds cannot help)	base	unsat
AUFLIA/20170829-Rodin/smt2126568150381056724.smt2	unsat	510	0	q:uf-fmf-probe	none	unsat	509	0	q:uf-fmf-probe	none	arm	unsat
AUFLIA/20170829-Rodin/smt2177400658467333293.smt2	unknown	14727	0	q:mbqi	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	unknown	24935	0	q:mbqi	give-up kind=Incomplete detail=e-matching instantiation stopped after 4 rounds: the remaining budget could not fit another round with growth headroom	arm	unsat
