file	base	base_ms	base_rc	base_bound_by	base_giveup	arm	arm_ms	arm_rc	arm_bound_by	arm_giveup	first	status
UFLIA/20230314-Jaroslav-Bendik-Certora/52759_b3ecd2335fd16ec2eee2_9_UFLIA.smt2	unknown	4412	0	q:mbqi	give-up kind=Incomplete detail=e-matching: no universal is asserted; the nested quantifiers present are registered, not instantiated	unknown	4410	0	q:mbqi	give-up kind=Incomplete detail=e-matching: no universal is asserted; the nested quantifiers present are registered, not instantiated	base	unknown
UFLIA/boogie/AdvancedTypes_InternalSubClass..ctor-orderStrength_1.smt2	unknown	24130	0	q:egraph	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	unknown	24124	0	q:egraph	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	base	unsat
UFLIA/boogie/Arrays_Q3-noinfer.smt2	unknown	24123	0	q:egraph	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	unknown	24127	0	q:egraph	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	base	unsat
UFLIA/boogie/AssignToRepField_AssignToRepField.N.smt2	unknown	24127	0	q:egraph	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	unknown	24128	0	q:egraph	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	base	unsat
UFLIA/boogie/Bag2_Bag.Add_System.Int32.smt2	unknown	24730	0	q:egraph	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	unknown	24128	0	q:egraph	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	arm	unknown
UFLIA/boogie/BasicMethodology_SubClass..ctor.smt2	unknown	24530	0	q:egraph	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	unknown	24228	0	q:egraph	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	arm	unsat
UFLIA/boogie/Cast_Cast.R_System.Object_System.Int32.smt2	unknown	24128	0	q:egraph	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	unknown	24129	0	q:egraph	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	arm	unsat
UFLIA/boogie/Chunker11c_Chunker.SpecSharp.CheckInvariant_System.Boolean.smt2	unknown	24732	0	q:egraph	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	unknown	24129	0	q:egraph	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	arm	unsat
UFLIA/boogie/DefaultLoopInv0_A.M-modifiesOnLoop-noinfer.smt2	unknown	23330	0	q:egraph	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	unknown	24129	0	q:egraph	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	base	unsat
UFLIA/boogie/Ensures_Q-noinfer_8.smt2	unknown	24128	0	q:egraph	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	unknown	24124	0	q:egraph	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	base	unknown
UFLIA/boogie/ExposeVersion_D..ctor-level_2.smt2	unknown	24130	0	q:egraph	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	unknown	24128	0	q:egraph	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	base	unsat
UFLIA/boogie/FormulaTerm_plus-noinfer_2.smt2	unsat	108	0	q:forall-exists-witness	none	unsat	107	0	q:forall-exists-witness	none	base	unsat
UFLIA/boogie/Interval_Cell.Shift_System.Int32.smt2	unknown	24129	0	q:egraph	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	unknown	24128	0	q:egraph	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	arm	unsat
UFLIA/boogie/LocalExpose_T.V1.smt2	unknown	24130	0	q:egraph	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	unknown	24128	0	q:egraph	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	arm	unknown
UFLIA/boogie/MultipleErrors_P-showErrorTrace-vc_local_1.smt2	unknown	24131	0	q:egraph	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	unknown	24128	0	q:egraph	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	arm	unknown
UFLIA/boogie/Passification_good1-noinfer.smt2	unsat	108	0	q:forall-exists-witness	none	unsat	107	0	q:forall-exists-witness	none	arm	unsat
UFLIA/boogie/PureAxioms_B.Dummy2-level_2.smt2	unknown	24130	0	q:egraph	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	unknown	24129	0	q:egraph	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	base	unknown
UFLIA/boogie/Quantifiers_V1-noinfer.smt2	unsat	209	0	q:mbqi-quick	none	unsat	208	0	q:mbqi-quick	none	base	unsat
UFLIA/boogie/Spouse_Person..ctor.smt2	unknown	24230	0	q:egraph	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	unknown	24229	0	q:egraph	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	base	unsat
UFLIA/boogie/StrictReadOnly_C1.Z1.smt2	unknown	24127	0	q:egraph	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	unknown	24128	0	q:egraph	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	base	unknown
UFLIA/boogie/StructTests_St.S_System.Int32.ptr_System.Int32.ptr-level_2.smt2	unknown	24129	0	q:egraph	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	unknown	24128	0	q:egraph	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	arm	unknown
UFLIA/boogie/Unsigned_test.Conversions_System.UInt32_System.Double.smt2	unknown	24229	0	q:egraph	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	unknown	24125	0	q:egraph	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	arm	unknown
UFLIA/boogie/WhereMotivation_Types.MLoop0.smt2	unknown	24132	0	q:egraph	give-up kind=Incomplete detail=query has quantifiers instantiation does not reach (nested, existential, or non-top-level)	unknown	24130	0	q:egraph	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	arm	unknown
UFLIA/boogie/loopinv1_LoopInv1.Test1a_F_notnull-infer_eh.smt2	unknown	24630	0	q:egraph	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	unknown	24328	0	q:egraph	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	arm	unsat
UFLIA/grasshopper/instantiated/delete_check_heap_access_53_12.smt2	unknown	23831	0	q:egraph	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted	unknown	25131	0	q:egraph	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	base	unsat
